,Media Sources,Negative,Neutral,Positive,Tweet Polarity,Tweets Ago
113,CBS,0.87,0.0,0.13,0.4,78
114,BBC,0.811,0.0,0.189,0.5,78
115,CNN,0.686,0.245,0.069,-0.6,77
116,CBS,0.857,0.143,0.0,-0.5,77
117,Fox,0.657,0.343,0.0,-0.6,77
118,BBC,1.0,0.0,0.0,0.0,77
119,New York Times,0.895,0.105,0.0,-0.3,77
120,Fox,0.852,0.0,0.148,0.4,76
121,CBS,0.857,0.143,0.0,-0.5,76
122,BBC,1.0,0.0,0.0,0.0,76
123,CNN,1.0,0.0,0.0,0.0,76
124,New York Times,1.0,0.0,0.0,0.0,76
125,Fox,0.806,0.0,0.194,0.3,75
126,BBC,1.0,0.0,0.0,0.0,75
127,CBS,0.79,0.0,0.21,0.5,75
128,New York Times,0.9,0.1,0.0,-0.3,75
129,CNN,0.905,0.0,0.095,0.2,75
130,CBS,1.0,0.0,0.0,0.0,74
131,BBC,0.872,0.0,0.128,0.3,74
132,Fox,0.769,0.108,0.123,0.1,74
133,New York Times,0.859,0.141,0.0,-0.4,74
134,CNN,0.707,0.131,0.162,0.2,74
135,CNN,1.0,0.0,0.0,0.0,73
136,CBS,0.643,0.096,0.26,0.6,73
137,BBC,0.752,0.0,0.248,0.7,73
138,New York Times,1.0,0.0,0.0,0.0,73
139,Fox,0.753,0.247,0.0,-0.3,73
140,CNN,0.667,0.156,0.178,0.1,72
141,Fox,0.828,0.172,0.0,-0.4,72
142,CBS,0.602,0.329,0.069,-0.8,72
143,BBC,0.865,0.135,0.0,-0.4,72
144,New York Times,0.865,0.135,0.0,-0.4,72
145,BBC,0.756,0.0,0.244,0.6,71
146,New York Times,0.714,0.151,0.134,-0.1,71
147,Fox,0.654,0.17,0.176,0.0,71
148,CBS,1.0,0.0,0.0,0.0,71
149,CNN,0.827,0.173,0.0,-0.3,71
150,Fox,0.743,0.095,0.162,0.2,70
151,CBS,0.816,0.184,0.0,-0.4,70
152,New York Times,0.68,0.18,0.141,-0.2,70
153,CNN,0.899,0.101,0.0,-0.2,70
154,BBC,0.8,0.0,0.2,0.7,70
155,CBS,1.0,0.0,0.0,0.0,69
156,New York Times,0.817,0.0,0.183,0.6,69
157,CNN,0.795,0.205,0.0,-0.6,69
158,Fox,1.0,0.0,0.0,0.0,69
159,BBC,1.0,0.0,0.0,0.0,69
160,BBC,0.838,0.162,0.0,-0.5,68
161,CBS,0.69,0.31,0.0,-0.8,68
162,Fox,0.812,0.188,0.0,-0.6,68
163,CNN,1.0,0.0,0.0,0.0,68
164,New York Times,0.845,0.155,0.0,-0.5,68
165,Fox,1.0,0.0,0.0,0.0,67
166,CBS,1.0,0.0,0.0,0.0,67
167,New York Times,0.838,0.162,0.0,-0.5,67
168,CNN,1.0,0.0,0.0,0.0,67
169,BBC,0.812,0.0,0.188,0.5,67
170,CNN,1.0,0.0,0.0,0.0,66
171,CBS,0.861,0.0,0.139,0.4,66
172,Fox,1.0,0.0,0.0,0.0,66
173,BBC,0.806,0.0,0.194,0.6,66
174,New York Times,0.594,0.183,0.223,-0.1,66
175,CNN,0.586,0.19,0.224,0.2,65
176,New York Times,1.0,0.0,0.0,0.0,65
177,BBC,1.0,0.0,0.0,0.0,65
178,CBS,0.785,0.215,0.0,-0.6,65
179,Fox,0.929,0.0,0.071,0.2,65
180,CBS,0.717,0.283,0.0,-0.7,64
181,New York Times,0.668,0.239,0.093,-0.6,64
182,Fox,0.613,0.0,0.387,0.7,64
183,CNN,1.0,0.0,0.0,0.0,64
184,BBC,0.845,0.155,0.0,-0.4,64
185,BBC,1.0,0.0,0.0,0.0,63
186,CNN,0.824,0.176,0.0,-0.5,63
187,CBS,0.852,0.0,0.148,0.5,63
188,New York Times,0.824,0.176,0.0,-0.7,63
189,Fox,1.0,0.0,0.0,0.0,63
190,CNN,0.902,0.098,0.0,-0.1,62
191,CBS,1.0,0.0,0.0,0.0,62
192,BBC,0.806,0.194,0.0,-0.6,62
193,Fox,0.549,0.451,0.0,-0.6,62
194,New York Times,0.854,0.146,0.0,-0.4,62
195,CNN,1.0,0.0,0.0,0.0,61
196,BBC,0.571,0.0,0.429,0.8,61
197,CBS,0.703,0.102,0.195,0.3,61
198,Fox,1.0,0.0,0.0,0.0,61
199,New York Times,1.0,0.0,0.0,0.0,61
200,Fox,0.773,0.0,0.227,0.4,60
201,New York Times,0.855,0.0,0.145,0.3,60
202,CBS,0.608,0.284,0.108,-0.6,60
203,CNN,0.617,0.267,0.116,-0.6,60
204,BBC,0.846,0.0,0.154,0.5,60
205,CNN,0.722,0.278,0.0,-0.7,59
206,New York Times,0.833,0.167,0.0,-0.5,59
207,Fox,1.0,0.0,0.0,0.0,59
208,BBC,0.722,0.0,0.278,0.6,59
209,CBS,1.0,0.0,0.0,0.0,59
210,Fox,0.723,0.0,0.277,0.7,58
211,CNN,0.711,0.289,0.0,-0.8,58
212,CBS,0.833,0.167,0.0,-0.4,58
213,New York Times,1.0,0.0,0.0,0.0,58
214,BBC,1.0,0.0,0.0,0.0,58
215,CBS,1.0,0.0,0.0,0.0,57
216,New York Times,0.783,0.217,0.0,-0.6,57
217,CNN,0.809,0.191,0.0,-0.5,57
218,BBC,0.872,0.0,0.128,0.4,57
219,Fox,0.847,0.0,0.153,0.4,57
220,Fox,0.856,0.0,0.144,0.6,56
221,CBS,0.779,0.221,0.0,-0.7,56
222,New York Times,1.0,0.0,0.0,0.0,56
223,BBC,1.0,0.0,0.0,0.0,56
224,CNN,0.75,0.087,0.163,0.3,56
225,Fox,0.632,0.368,0.0,-0.8,55
226,CNN,1.0,0.0,0.0,0.0,55
227,New York Times,1.0,0.0,0.0,0.0,55
228,CBS,1.0,0.0,0.0,0.0,55
229,BBC,0.495,0.0,0.505,0.9,55
230,BBC,0.636,0.0,0.364,0.8,54
231,CNN,1.0,0.0,0.0,0.0,54
232,New York Times,0.62,0.149,0.231,0.5,54
233,Fox,0.448,0.552,0.0,-0.8,54
234,CBS,1.0,0.0,0.0,0.0,54
235,BBC,0.782,0.0,0.218,0.4,53
236,New York Times,1.0,0.0,0.0,0.0,53
237,Fox,0.86,0.0,0.14,0.4,53
238,CBS,0.614,0.17,0.217,0.1,53
239,CNN,0.856,0.0,0.144,0.4,53
240,CNN,1.0,0.0,0.0,0.0,52
241,BBC,1.0,0.0,0.0,0.0,52
242,New York Times,0.747,0.137,0.116,-0.1,52
243,Fox,1.0,0.0,0.0,0.0,52
244,CBS,1.0,0.0,0.0,0.0,52
245,New York Times,1.0,0.0,0.0,0.0,51
246,Fox,1.0,0.0,0.0,0.0,51
247,CNN,0.859,0.141,0.0,-0.4,51
248,BBC,0.752,0.08,0.168,0.5,51
249,CBS,0.825,0.175,0.0,-0.5,51
250,Fox,0.632,0.368,0.0,-0.8,50
251,CBS,1.0,0.0,0.0,0.0,50
252,CNN,0.827,0.173,0.0,-0.7,50
253,BBC,0.877,0.0,0.123,0.4,50
254,New York Times,0.667,0.107,0.227,0.4,50
255,New York Times,0.762,0.119,0.119,0.0,49
256,Fox,0.714,0.286,0.0,-0.6,49
257,CBS,0.699,0.245,0.057,-0.6,49
258,BBC,0.684,0.209,0.106,-0.2,49
259,CNN,0.862,0.0,0.138,0.5,49
260,New York Times,0.852,0.0,0.148,0.5,48
261,BBC,1.0,0.0,0.0,0.0,48
262,CBS,1.0,0.0,0.0,0.0,48
263,CNN,1.0,0.0,0.0,0.0,48
264,Fox,0.819,0.0,0.181,0.6,48
265,New York Times,0.874,0.126,0.0,-0.3,47
266,BBC,1.0,0.0,0.0,0.0,47
267,CBS,0.711,0.289,0.0,-0.8,47
268,CNN,0.585,0.122,0.293,0.5,47
269,Fox,1.0,0.0,0.0,0.0,47
270,New York Times,0.845,0.0,0.155,0.5,46
271,BBC,0.642,0.358,0.0,-0.7,46
272,CBS,1.0,0.0,0.0,0.0,46
273,CNN,0.573,0.095,0.332,0.7,46
274,Fox,0.605,0.0,0.395,0.8,46
275,BBC,0.638,0.0,0.362,0.8,45
276,CBS,0.917,0.083,0.0,-0.2,45
277,Fox,0.865,0.0,0.135,0.4,45
278,New York Times,0.758,0.0,0.242,0.7,45
279,CNN,0.821,0.179,0.0,-0.3,45
280,New York Times,0.872,0.0,0.128,0.4,44
281,BBC,1.0,0.0,0.0,0.0,44
282,Fox,0.743,0.0,0.257,0.6,44
283,CBS,0.862,0.0,0.138,0.1,44
284,CNN,0.842,0.0,0.158,0.5,44
285,BBC,1.0,0.0,0.0,0.0,43
286,CNN,0.65,0.0,0.35,0.8,43
287,CBS,0.833,0.0,0.167,0.5,43
288,Fox,0.769,0.231,0.0,-0.6,43
289,New York Times,0.751,0.099,0.15,0.3,43
290,Fox,0.604,0.221,0.174,-0.2,42
291,BBC,0.786,0.0,0.214,0.5,42
292,New York Times,1.0,0.0,0.0,0.0,42
293,CBS,0.842,0.158,0.0,-0.5,42
294,CNN,0.859,0.0,0.141,0.2,42
295,CBS,0.773,0.227,0.0,-0.6,41
296,CNN,0.52,0.22,0.26,0.2,41
297,New York Times,0.895,0.0,0.105,0.3,41
298,BBC,1.0,0.0,0.0,0.0,41
299,Fox,0.661,0.339,0.0,-0.6,41
300,BBC,1.0,0.0,0.0,0.0,40
301,Fox,1.0,0.0,0.0,0.0,40
302,CNN,0.617,0.14,0.243,0.4,40
303,CBS,1.0,0.0,0.0,0.0,40
304,New York Times,0.86,0.0,0.14,0.5,40
305,CBS,0.864,0.136,0.0,-0.5,39
306,Fox,0.318,0.439,0.242,-0.5,39
307,New York Times,0.644,0.0,0.356,0.8,39
308,BBC,1.0,0.0,0.0,0.0,39
309,CNN,0.865,0.0,0.135,0.4,39
310,CBS,0.588,0.319,0.092,-0.8,38
311,Fox,0.778,0.0,0.222,0.6,38
312,BBC,0.84,0.0,0.16,0.3,38
313,CNN,1.0,0.0,0.0,0.0,38
314,New York Times,1.0,0.0,0.0,0.0,38
315,CBS,0.667,0.195,0.138,-0.0,37
316,New York Times,1.0,0.0,0.0,0.0,37
317,CNN,0.71,0.137,0.153,0.1,37
318,Fox,0.811,0.0,0.189,0.4,37
319,BBC,0.75,0.047,0.203,0.6,37
320,CBS,1.0,0.0,0.0,0.0,36
321,New York Times,0.5,0.0,0.5,0.5,36
322,Fox,1.0,0.0,0.0,0.0,36
323,CNN,0.677,0.147,0.175,-0.1,36
324,BBC,0.884,0.0,0.116,0.3,36
325,New York Times,1.0,0.0,0.0,0.0,35
326,BBC,0.899,0.101,0.0,-0.2,35
327,CNN,0.739,0.138,0.123,-0.1,35
328,CBS,0.722,0.278,0.0,-0.7,35
329,Fox,0.863,0.137,0.0,-0.2,35
330,CNN,0.645,0.222,0.133,-0.3,34
331,CBS,1.0,0.0,0.0,0.0,34
332,Fox,0.791,0.209,0.0,-0.7,34
333,BBC,1.0,0.0,0.0,0.0,34
334,New York Times,0.734,0.266,0.0,-0.7,34
335,Fox,1.0,0.0,0.0,0.0,33
336,CBS,1.0,0.0,0.0,0.0,33
337,New York Times,0.619,0.0,0.381,0.8,33
338,BBC,0.785,0.091,0.124,0.2,33
339,CNN,1.0,0.0,0.0,0.0,33
340,Fox,0.871,0.129,0.0,-0.5,32
341,CBS,1.0,0.0,0.0,0.0,32
342,New York Times,1.0,0.0,0.0,0.0,32
343,CNN,0.915,0.0,0.085,0.1,32
344,BBC,1.0,0.0,0.0,0.0,32
345,CBS,0.877,0.0,0.123,0.5,31
346,Fox,1.0,0.0,0.0,0.0,31
347,CNN,1.0,0.0,0.0,0.0,31
348,BBC,1.0,0.0,0.0,0.0,31
349,New York Times,1.0,0.0,0.0,0.0,31
350,BBC,0.667,0.144,0.189,0.2,30
351,CBS,0.874,0.126,0.0,-0.4,30
352,Fox,0.845,0.0,0.155,0.5,30
353,CNN,1.0,0.0,0.0,0.0,30
354,New York Times,0.819,0.0,0.181,0.5,30
355,BBC,0.915,0.085,0.0,-0.2,29
356,Fox,1.0,0.0,0.0,0.0,29
357,New York Times,1.0,0.0,0.0,0.0,29
358,CBS,0.816,0.0,0.184,0.4,29
359,CNN,0.672,0.087,0.241,0.6,29
360,Fox,0.842,0.0,0.158,0.5,28
361,CBS,0.63,0.0,0.37,0.9,28
362,CNN,1.0,0.0,0.0,0.0,28
363,BBC,0.748,0.252,0.0,-0.6,28
364,New York Times,1.0,0.0,0.0,0.0,28
365,New York Times,1.0,0.0,0.0,0.0,27
366,CBS,0.87,0.0,0.13,0.4,27
367,Fox,0.856,0.144,0.0,-0.4,27
368,CNN,0.659,0.213,0.128,-0.3,27
369,BBC,0.622,0.378,0.0,-0.8,27
370,New York Times,1.0,0.0,0.0,0.0,26
371,BBC,1.0,0.0,0.0,0.0,26
372,CBS,0.708,0.212,0.08,-0.5,26
373,Fox,0.657,0.225,0.117,-0.3,26
374,CNN,0.891,0.0,0.109,0.3,26
375,BBC,1.0,0.0,0.0,0.0,25
376,New York Times,0.916,0.0,0.084,0.1,25
377,CNN,1.0,0.0,0.0,0.0,25
378,Fox,0.829,0.171,0.0,-0.5,25
379,CBS,0.762,0.238,0.0,-0.6,25
380,CNN,0.762,0.129,0.11,-0.1,24
381,Fox,0.691,0.176,0.133,-0.2,24
382,New York Times,1.0,0.0,0.0,0.0,24
383,BBC,0.785,0.063,0.152,0.4,24
384,CBS,0.706,0.086,0.208,0.5,24
385,BBC,1.0,0.0,0.0,0.0,23
386,Fox,0.789,0.211,0.0,-0.3,23
387,New York Times,0.699,0.199,0.101,-0.4,23
388,CBS,0.802,0.198,0.0,-0.5,23
389,CNN,0.863,0.0,0.137,0.4,23
